WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=948.2 (overall: 1005.7) avg_msec=52.338 (overall: 49.628)
                                                                   
SET: rps=956.0 (overall: 1005.0) avg_msec=52.776 (overall: 49.669)
                                                                   
SET: rps=948.2 (overall: 1004.3) avg_msec=52.205 (overall: 49.702)
                                                                   
SET: rps=1008.0 (overall: 1004.3) avg_msec=50.277 (overall: 49.710)
                                                                    
SET: rps=968.1 (overall: 1003.8) avg_msec=51.225 (overall: 49.730)
                                                                   
SET: rps=972.1 (overall: 1003.4) avg_msec=51.516 (overall: 49.752)
                                                                   
SET: rps=960.2 (overall: 1002.8) avg_msec=52.060 (overall: 49.781)
                                                                   
SET: rps=968.0 (overall: 1002.4) avg_msec=52.120 (overall: 49.810)
                                                                   
SET: rps=1043.8 (overall: 1002.9) avg_msec=47.833 (overall: 49.784)
                                                                    
SET: rps=944.2 (overall: 1002.2) avg_msec=52.130 (overall: 49.812)
                                                                   
SET: rps=1000.0 (overall: 1002.2) avg_msec=50.779 (overall: 49.823)
                                                                    
SET: rps=1019.9 (overall: 1002.4) avg_msec=48.477 (overall: 49.807)
                                                                    
SET: rps=924.0 (overall: 1001.4) avg_msec=54.168 (overall: 49.855)
                                                                   
SET: rps=964.1 (overall: 1001.0) avg_msec=51.608 (overall: 49.875)
                                                                   
SET: rps=948.2 (overall: 1000.4) avg_msec=52.368 (overall: 49.903)
                                                                   
SET: rps=972.1 (overall: 1000.0) avg_msec=52.004 (overall: 49.927)
                                                                   
SET: rps=932.0 (overall: 999.3) avg_msec=53.770 (overall: 49.968)
                                                                  
SET: rps=1020.0 (overall: 999.5) avg_msec=49.273 (overall: 49.960)
                                                                   
SET: rps=960.2 (overall: 999.1) avg_msec=51.730 (overall: 49.979)
                                                                  
SET: rps=980.1 (overall: 998.8) avg_msec=50.927 (overall: 49.989)
                                                                  
SET: rps=920.3 (overall: 998.0) avg_msec=53.786 (overall: 50.028)
                                                                  
SET: rps=896.4 (overall: 996.9) avg_msec=55.449 (overall: 50.081)
                                                                  
SET: rps=928.0 (overall: 996.1) avg_msec=54.396 (overall: 50.124)
                                                                  
SET: rps=992.0 (overall: 996.1) avg_msec=50.523 (overall: 50.128)
                                                                  
SET: rps=964.0 (overall: 995.8) avg_msec=51.897 (overall: 50.146)
                                                                  
SET: rps=1015.9 (overall: 996.0) avg_msec=49.790 (overall: 50.143)
                                                                   
SET: rps=972.1 (overall: 995.7) avg_msec=50.765 (overall: 50.149)
                                                                  
SET: rps=932.3 (overall: 995.1) avg_msec=53.199 (overall: 50.178)
                                                                  
SET: rps=956.2 (overall: 994.7) avg_msec=53.010 (overall: 50.206)
                                                                  
SET: rps=1027.9 (overall: 995.0) avg_msec=48.658 (overall: 50.190)
                                                                   
SET: rps=1044.0 (overall: 995.5) avg_msec=47.598 (overall: 50.163)
                                                                   
SET: rps=1035.9 (overall: 995.9) avg_msec=49.105 (overall: 50.152)
                                                                   
SET: rps=1043.8 (overall: 996.4) avg_msec=47.493 (overall: 50.125)
                                                                   
SET: rps=968.3 (overall: 996.1) avg_msec=51.053 (overall: 50.134)
                                                                  
SET: rps=1028.0 (overall: 996.4) avg_msec=49.043 (overall: 50.123)
                                                                   
SET: rps=984.1 (overall: 996.3) avg_msec=50.392 (overall: 50.125)
                                                                  
SET: rps=1004.0 (overall: 996.3) avg_msec=50.083 (overall: 50.125)
                                                                   
SET: rps=992.1 (overall: 996.3) avg_msec=49.800 (overall: 50.122)
                                                                  
SET: rps=1008.0 (overall: 996.4) avg_msec=50.122 (overall: 50.122)
                                                                   
SET: rps=968.0 (overall: 996.2) avg_msec=51.780 (overall: 50.137)
                                                                  
SET: rps=948.2 (overall: 995.7) avg_msec=51.994 (overall: 50.152)
                                                                  
SET: rps=960.0 (overall: 995.4) avg_msec=52.560 (overall: 50.173)
                                                                  
SET: rps=964.1 (overall: 995.1) avg_msec=51.760 (overall: 50.187)
                                                                  
SET: rps=968.0 (overall: 994.9) avg_msec=51.918 (overall: 50.202)
                                                                  
